TRIP_COUNTER,7
ACT_COUNTER_1,6
ACT_COUNTER_2,6
ACT_COUNTER_3,5
ACT_COUNTER_4,5
ACT_COUNTER_5,3
ACT_COUNTER_6,4
TRIP,1,Mumbai to Goa Road Trip,Mumbai,Goa
ACTIVITY,1,1,TRANSPORT,Mumbai,2026-05-01 06:00,Car,-
NAV,1,1,1,Start from Bandra — take the Western Express Highway southbound,3.50
NAV,1,1,2,Merge onto NH-66 toward Pune via Khopoli,45.00
NAV,1,1,3,Continue on NH-66 through Ratnagiri District,210.00
ACTIVITY,1,2,HOTEL,Ratnagiri,2026-05-01 13:00,Hotel Sagara,1200.00
NAV,1,2,1,Exit NH-66 at Ratnagiri junction,1.20
NAV,1,2,2,Turn left toward Thibaw Point Road,0.80
NAV,1,2,3,Hotel Sagara is on your right,0.10
ACTIVITY,1,3,TOURIST,Ratnagiri,2026-05-02 09:00,Thibaw Palace Museum,-
NAV,1,3,1,Walk 300m from hotel toward Thibaw Point,0.30
NAV,1,3,2,Enter museum complex from the main gate,0.05
ACTIVITY,1,4,TRANSPORT,Goa,2026-05-02 14:00,Car,-
NAV,1,4,1,Resume NH-66 southbound from Ratnagiri,0.50
NAV,1,4,2,Cross Sawantwadi and enter Goa via Patradevi border,130.00
NAV,1,4,3,Take NH-66 bypass toward Panaji,35.00
ACTIVITY,1,5,HOTEL,Goa,2026-05-02 19:00,Taj Holiday Village,8500.00
NAV,1,5,1,Turn right at Calangute beach road,2.00
NAV,1,5,2,Taj Holiday Village entrance on the left,0.30
TRIP,2,Delhi Cultural Circuit,Delhi,Agra
ACTIVITY,2,1,FLIGHT,Delhi,2026-06-10 08:45,AI-101,Air India
NAV,2,1,1,Check in at IGI Airport Terminal 3,0.10
NAV,2,1,2,Board Air India AI-101 at Gate 22,0.20
NAV,2,1,3,Arrive Delhi IGI T3 — head to exit,0.50
ACTIVITY,2,2,HOTEL,Delhi,2026-06-10 12:00,The Imperial Hotel,6500.00
NAV,2,2,1,Take prepaid taxi from airport to Janpath,22.00
NAV,2,2,2,The Imperial Hotel is at 1 Janpath,0.10
ACTIVITY,2,3,TOURIST,Delhi,2026-06-11 10:00,Red Fort,-
NAV,2,3,1,Exit hotel and head east on Kasturba Gandhi Marg,1.50
NAV,2,3,2,Board Metro Yellow Line at Patel Chowk,0.30
NAV,2,3,3,Alight at Chandni Chowk Metro Station,8.00
NAV,2,3,4,Walk 600m south to Red Fort main gate,0.60
ACTIVITY,2,4,TRANSPORT,Agra,2026-06-12 06:00,Train,-
NAV,2,4,1,Head to New Delhi Railway Station platform 12,3.00
NAV,2,4,2,Board Gatimaan Express 12049 to Agra Cantt in 1h 40m,200.00
NAV,2,4,3,Exit Agra Cantt station — take auto to hotel,5.00
ACTIVITY,2,5,TOURIST,Agra,2026-06-12 10:00,Taj Mahal,-
NAV,2,5,1,Walk from hotel toward East Gate of Taj Mahal,1.20
NAV,2,5,2,Complete security check at Eastern entrance,0.05
NAV,2,5,3,Walk through the Mughal gardens to the main mausoleum,0.40
TRIP,3,Rajasthan Heritage Tour,Jaipur,Udaipur
ACTIVITY,3,1,FLIGHT,Jaipur,2026-07-05 07:30,6E-312,IndiGo
NAV,3,1,1,Check in at departure airport Terminal 1,0.20
NAV,3,1,2,Board IndiGo 6E-312 at Gate 7,0.10
NAV,3,1,3,Land at Jaipur International Airport — collect baggage,0.50
ACTIVITY,3,2,HOTEL,Jaipur,2026-07-05 11:00,Rambagh Palace,12000.00
NAV,3,2,1,Take airport taxi toward Bhawani Singh Road,12.00
NAV,3,2,2,Rambagh Palace entrance — security check at gate,0.20
ACTIVITY,3,3,TOURIST,Jaipur,2026-07-06 09:00,Amber Fort,-
NAV,3,3,1,Hire a hotel car to Amber Fort — 11km drive,11.00
NAV,3,3,2,Take elephant ride up to the fort entrance OR walk the ramp,0.60
ACTIVITY,3,4,TRANSPORT,Udaipur,2026-07-07 08:00,Train,-
NAV,3,4,1,Head to Jaipur Junction platform 4,6.00
NAV,3,4,2,Board Mewar Express 12963 — reaches Udaipur City in 6h,400.00
NAV,3,4,3,Exit Udaipur City station — take cab to hotel,4.00
TRIP,4,summer vacation,mumbai,bihar
ACTIVITY,4,1,FLIGHT,mumbai,2026-04-22 01:34,1234,indigo
NAV,4,1,1,catch the flight from the termianl 2,1.00
ACTIVITY,4,2,HOTEL,delhi,2026-04-22 01:35,Hotel Tulip,2000.00
NAV,4,2,1,from the delhi airport go to the main road,0.50
NAV,4,2,2,take the taxi and go the hotel,0.00
ACTIVITY,4,3,TOURIST,delhi,2026-04-22 01:38,jantar mantar,-
NAV,4,3,1,from the tulip hotel take the metro and reach the r patel chowk,2.00
ACTIVITY,4,4,FLIGHT,bihar,2026-04-22 01:40,1234,spice jet
NAV,4,4,1,from the jantar mantar board the flight from the airpirt,2.00
TRIP,5,winter vacation,bihar,jammu&kashmir
ACTIVITY,5,1,FLIGHT,bihar,2026-04-22 01:43,12EZY,indigo
ACTIVITY,5,2,HOTEL,jammu&kashmir,2026-04-22 01:45,hotel taj,3000.00
NAV,5,2,1,from the kashmir airport head toward the main chown,2.00
TRIP,6,ladakh,ladakh,himanchal
ACTIVITY,6,1,HOTEL,ladakh,2026-04-22 10:12,ladakh_home,2000.00
NAV,6,1,1,2km from the alpine lakes,2.00
ACTIVITY,6,2,FLIGHT,ladakh,2026-04-23 11:11,1234,indigo
ACTIVITY,6,3,HOTEL,himanchal,2026-04-24 12:12,himanchal palace,3000.00
NAV,6,3,1,from airport to the main market and then 50 meter left,2.00
